date,delta_deg,E_day_kWh
2024-10-25,11,2.1873600669112334
2024-10-25,12,2.186182241136933
2024-10-25,13,2.1846956811942904
2024-10-25,14,2.1829001823886536
2024-10-26,10,1.8082239891605372
2024-10-26,11,1.8069990587052158
2024-10-26,12,1.8055220434868
2024-10-26,13,1.803792264865344
2024-10-26,14,1.8018089845787857
2024-10-27,10,1.0913922882435436
2024-10-27,11,1.088807866629214
2024-10-27,12,1.086073549167421
2024-10-27,13,1.0831897545600235
2024-10-27,14,1.0801569267239688
2024-10-28,10,1.9055683492245175
2024-10-28,11,1.9043358216525275
2024-10-28,12,1.902812654596192
2024-10-28,13,1.900999103747464
2024-10-28,14,1.8988954052558673
2024-10-29,10,2.167068971598882
2024-10-29,11,2.1659729529898533
2024-10-29,12,2.16457640931208
2024-10-29,13,2.162879153834861
2024-10-29,14,2.1608809133711784
2024-10-30,10,2.1503608780644243
2024-10-30,11,2.149228284522831
2024-10-30,12,2.1477954412628715
2024-10-30,13,2.146062113093652
2024-10-30,14,2.1440279859765585
2024-10-31,10,1.9935199652162174
2024-10-31,11,1.992350269502238
2024-10-31,12,1.9909084266459316
2024-10-31,13,1.9891937367852779
2024-10-31,14,1.9872054124791927
2024-11-01,10,2.0764569183081902
2024-11-01,11,2.0751237350900538
2024-11-01,12,2.0735080586968397
2024-11-01,13,2.0716095710675413
2024-11-01,14,2.0694278614733372
2024-11-02,10,1.7534438759541588
2024-11-02,11,1.7520485091641738
2024-11-02,12,1.750408454800579
2024-11-02,13,1.748523393679543
2024-11-02,14,1.7463929425614086
2024-11-03,10,2.1005966615788196
2024-11-03,11,2.0990049761355065
2024-11-03,12,2.0971095095380377
2024-11-03,13,2.094909905228229
2024-11-03,14,2.092405741632433
2024-11-04,10,1.9834730237882479
2024-11-04,11,1.981682547967751
2024-11-04,12,1.9796059627616935
2024-11-04,13,1.9772435865124975
2024-11-04,14,1.974595722982296
2024-11-05,10,2.4618581803254966
2024-11-05,11,2.4667843381308097
2024-11-05,12,2.4712097807257964
2024-11-05,13,2.4751351551709684
2024-11-05,14,2.478561243131353
2024-11-06,10,2.301657349519667
2024-11-06,11,2.306377902255992
2024-11-06,12,2.3107248420255
2024-11-06,13,2.3146349478963506
2024-11-06,14,2.317737651682536
2024-11-07,10,2.0178825216813663
2024-11-07,11,2.020628050766387
2024-11-07,12,2.0231748145978066
2024-11-07,13,2.0250137179518197
2024-11-07,14,2.0263655387719215
2024-11-08,10,1.541704327932837
2024-11-08,11,1.5441626385456941
2024-11-08,12,1.5463466907977115
2024-11-08,13,1.5482661461012548
2024-11-08,14,1.5499515385340734
2024-11-09,10,2.377271659713794
2024-11-09,11,2.379613754006919
2024-11-09,12,2.381991754663979
2024-11-09,13,2.383993254601831
2024-11-09,14,2.385615841928274
2024-11-10,10,1.3423130258723484
2024-11-10,11,1.344270529111477
2024-11-10,12,1.3465911902865109
2024-11-10,13,1.3487242482714679
2024-11-10,14,1.3506701418390106
2024-11-11,10,2.2437423245069175
2024-11-11,11,2.245615974032607
2024-11-11,12,2.2476852441245803
2024-11-11,13,2.249409726756121
2024-11-11,14,2.250789180686642
2024-11-12,10,2.410016446526345
2024-11-12,11,2.411928385765156
2024-11-12,12,2.4141305193355147
2024-11-12,13,2.415954180637061
